Base	Score
0	0.015971536636357087
1	0.010517711639408844
2	0.013247604370121735
3	0.009838218688969391
4	0.005063886642460602
5	0.0064288330078170475
6	0.014606590271000641
7	0.005749340057377594
8	0.008473272323612946
9	0.010517711639408844
10	0.015292043685917633
11	0.01665102958679654
12	0.017336483001713532
13	0.017336483001713532
14	0.007108325958256501
15	0.010517711639408844
16	0.009838218688969391
17	0.010517711639408844
18	0.01665102958679654
19	0.0064288330078170475
20	0.0030194473266647037
21	0.013247604370121735
22	0.005749340057377594
23	0.005063886642460602
24	0.0023399543762252506
25	0.003704900741581696
26	0.0023399543762252506
27	0.004384393692021149
28	0.013927097320561188
29	0.013247604370121735
30	0.007108325958256501
31	0.011197204589848297
32	0.011197204589848297
33	0.013927097320561188
34	0.012562150955204743
35	0.005749340057377594
36	0.009152765274052399
37	0.005749340057377594
38	0.009838218688969391
39	0.009152765274052399
40	0.007108325958256501
41	0.007793779373173493
42	0.010517711639408844
43	0.007793779373173493
44	0.007108325958256501
45	0.009152765274052399
46	0.007108325958256501
47	0.0064288330078170475
48	0.0030194473266647037
49	0.0017489242553665463
50	0.0024284172058059994
51	0.01188265800476529
52	0.017336483001713532
53	0.009152765274052399
54	0.015292043685917633
55	0.013247604370121735
56	0.011197204589848297
57	0.007793779373173493
58	0.01188265800476529
59	0.008473272323612946
60	0.01188265800476529
61	0.007793779373173493
62	0.011197204589848297
63	0.003704900741581696
64	0.010517711639408844
65	0.0064288330078170475
66	0.007793779373173493
67	0.01665102958679654
68	0.009152765274052399
69	0.004384393692021149
70	0.009152765274052399
71	0.009152765274052399
72	0.00029551506042935216
73	0.0064288330078170475
74	0.012562150955204743
75	0.008473272323612946
76	0.011197204589848297
77	0.009838218688969391
78	0.010517711639408844
79	0.007108325958256501
80	0.007108325958256501
81	0.007108325958256501
82	0.0030194473266647037
83	0.0017489242553665463
84	0.0023399543762252506
85	0.0023399543762252506
86	0.0030194473266647037
87	0.007793779373173493
88	0.005749340057377594
89	0.009152765274052399
90	0.011197204589848297
91	0.0064288330078170475
92	0.0064288330078170475
93	0.010517711639408844
94	0.012562150955204743
95	0.008473272323612946
96	0.005749340057377594
97	0.009152765274052399
98	0.0016604614257857975
99	0.012562150955204743
100	0.007793779373173493
101	0.008473272323612946
102	0.007108325958256501
103	0.007108325958256501
104	0.007108325958256501
105	0.005749340057377594
106	0.008473272323612946
107	0.005749340057377594
108	0.0010694313049270932
109	0.003704900741581696
110	0.008473272323612946
111	0.011197204589848297
112	0.008473272323612946
113	0.007108325958256501
114	0.004384393692021149
115	0.005749340057377594
116	0.007793779373173493
117	0.010517711639408844
118	0.01188265800476529
119	0.008473272323612946
120	0.005749340057377594
121	0.003704900741581696
122	0.007108325958256501
123	0.007793779373173493
124	0.0017489242553665463
125	0.012562150955204743
126	0.017336483001713532
127	0.012562150955204743
128	0.012562150955204743
129	0.00038397789001010096
130	0.010517711639408844
131	0.013247604370121735
132	0.01188265800476529
133	0.008473272323612946
134	0.013927097320561188
135	0.007108325958256501
136	0.007793779373173493
137	0.005749340057377594
138	0.008473272323612946
139	0.018695468902592438
140	0.007108325958256501
141	0.005749340057377594
142	0.009838218688969391
143	0.0023399543762252506
144	0.018015975952152985
145	0.018015975952152985
146	0.012562150955204743
147	0.010517711639408844
148	0.010517711639408844
149	0.009152765274052399
150	0.00029551506042935216
151	0.0009750080108688053
152	0.005063886642460602
153	0.010517711639408844
154	0.003704900741581696
155	0.005749340057377594
156	0.007108325958256501
157	0.00038397789001010096
158	0.010517711639408844
159	0.013927097320561188
160	0.005749340057377594
161	0.010517711639408844
162	0.013927097320561188
163	0.007793779373173493
164	0.005063886642460602
165	0.007108325958256501
166	0.012562150955204743
167	0.009838218688969391
168	0.012562150955204743
169	0.007108325958256501
170	0.0023399543762252506
171	0.005749340057377594
172	0.003704900741581696
173	0.008473272323612946
174	0.005749340057377594
175	0.010517711639408844
176	0.007793779373173493
177	0.009838218688969391
178	0.008473272323612946
179	0.015971536636357087
180	0.008473272323612946
181	0.007108325958256501
182	0.0016604614257857975
183	0.011197204589848297
184	0.007793779373173493
185	0.0064288330078170475
186	0.009838218688969391
187	0.01938092231750943
188	0.009152765274052399
189	0.009152765274052399
190	0.008473272323612946
